Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Programs,Other Operating Expenses,66000000,"42,083","42,083","42,083","42,083","42,083","42,083","42,083","42,083","42,083","42,083","42,083","42,083"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Programs,Travel - Other,61009000,"2,892","2,892","2,892","2,892","2,892","2,892","2,892","2,892","2,892","2,892","2,892","2,892"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000203,CP Practice - DBs,,,Programs,Other Operating Expenses,66000000,"211,789","211,789","211,789","211,789","211,789","211,789","211,789","211,789","211,789","211,789","211,789","211,789"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000204,CP Practice - BCN,,,Programs,Other Operating Expenses,66000000,"130,792","130,792","130,792","130,792","130,792","130,792","130,792","130,792","130,792","130,792","130,792","130,792"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"86,071","86,071","86,071","89,858","89,858","89,858","89,858","89,858","89,858","89,858","89,858","89,858"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Bonus - Office Performance,61023000,"12,743","12,743","12,743","16,126","16,126","16,126","16,126","16,126","16,126","16,126","16,126","16,126"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"136,361","136,361","136,361","124,740","124,740","124,740","124,740","124,740","124,740","110,696","110,696","110,696"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Wages,61010000,"317,844","317,844","317,844","331,829","331,829","331,829","331,829","331,829","331,829","331,829","331,829","331,829"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Programs,Other Operating Expenses,66000000,"58,250","58,250","58,250","58,250","58,250","58,250","58,250","58,250","58,250","58,250","58,250","58,250"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Programs,Travel - Other,61009000,"5,833","5,833","5,833","5,833","5,833","5,833","5,833","5,833","5,833","5,833","5,833","5,833"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400204,Customer Practice - BCN,,,Programs,Other Operating Expenses,66000000,"68,333","68,333","68,333","68,333","68,333","68,333","68,333","68,333","68,333","68,333","68,333","68,333"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"48,387","48,387","48,387","50,517","50,517","50,517","50,517","50,517","50,517","50,517","50,517","50,517"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Bonus - Office Performance,61023000,"7,730","7,730","7,730","9,782","9,782","9,782","9,782","9,782","9,782","9,782","9,782","9,782"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"76,227","76,227","76,227","69,731","69,731","69,731","69,731","69,731","69,731","61,880","61,880","61,880"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Wages,61010000,"176,699","176,699","176,699","184,474","184,474","184,474","184,474","184,474","184,474","184,474","184,474","184,474"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Programs,Other Operating Expenses,66000000,"25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Programs,Travel - Other,61009000,"5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300203,ENR Practice - DBs,,,Programs,Other Operating Expenses,66000000,"231,136","231,136","231,136","231,136","231,136","231,136","231,136","231,136","231,136","231,136","231,136","231,136"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"41,491","41,491","41,491","43,316","43,316","43,316","43,316","43,316","43,316","43,316","43,316","43,316"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Bonus - Office Performance,61023000,"6,308","6,308","6,308","7,983","7,983","7,983","7,983","7,983","7,983","7,983","7,983","7,983"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"68,523","68,523","68,523","62,683","62,683","62,683","62,683","62,683","62,683","55,626","55,626","55,626"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Wages,61010000,"161,592","161,592","161,592","168,702","168,702","168,702","168,702","168,702","168,702","168,702","168,702","168,702"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Programs,Other Operating Expenses,66000000,"54,167","54,167","54,167","54,167","54,167","54,167","54,167","54,167","54,167","54,167","54,167","54,167"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Programs,Travel - Other,61009000,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000204,ET Practice - BCN,,,Programs,Other Operating Expenses,66000000,"22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"48,710","48,710","48,710","50,853","50,853","50,853","50,853","50,853","50,853","50,853","50,853","50,853"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Bonus - Office Performance,61023000,"8,691","8,691","8,691","10,998","10,998","10,998","10,998","10,998","10,998","10,998","10,998","10,998"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Freelance Service Fees,61108000,351,351,351,351,351,351,351,351,351,351,351,351
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"76,360","76,360","76,360","69,852","69,852","69,852","69,852","69,852","69,852","61,988","61,988","61,988"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Wages,61010000,"175,332","175,332","175,332","183,047","183,047","183,047","183,047","183,047","183,047","183,047","183,047","183,047"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Programs,Other Operating Expenses,66000000,121667,121667,121667,121667,121667,121667,121667,121667,121667,121667,121667,121667
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Programs,Travel - Other,61009000,"2,667","2,667","2,667","2,667","2,667","2,667","2,667","2,667","2,667","2,667","2,667","2,667"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500203,FS Practice - DBs,,,Programs,Other Operating Expenses,66000000,"325,084","325,084","325,084","325,084","325,084","325,084","325,084","325,084","325,084","325,084","325,084","325,084"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500204,FS Practice - BCN,,,Programs,Other Operating Expenses,66000000,"85,083","85,083","85,083","85,083","85,083","85,083","85,083","85,083","85,083","85,083","85,083","85,083"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"63,114","63,114","63,114","65,891","65,891","65,891","65,891","65,891","65,891","65,891","65,891","65,891"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Bonus - Office Performance,61023000,"10,138","10,138","10,138","12,830","12,830","12,830","12,830","12,830","12,830","12,830","12,830","12,830"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"108,993","108,993","108,993","99,705","99,705","99,705","99,705","99,705","99,705","88,480","88,480","88,480"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Wages,61010000,"259,789","259,789","259,789","271,219","271,219","271,219","271,219","271,219","271,219","271,219","271,219","271,219"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Programs,Other Operating Expenses,66000000,88500,88500,88500,88500,88500,88500,88500,88500,88500,88500,88500,88500
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Programs,Travel - Other,61009000,"3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050203,Further Practice - DBs,,,Programs,Other Operating Expenses,66000000,"117,458","117,458","117,458","117,458","117,458","117,458","117,458","117,458","117,458","117,458","117,458","117,458"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050204,Further Practice - BCN,,,Programs,Other Operating Expenses,66000000,"103,500","103,500","103,500","103,500","103,500","103,500","103,500","103,500","103,500","103,500","103,500","103,500"
