Cost Center,Type,Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,1,2,3,4,5,6,7,8,9,10,11,12
CP Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"48,950"
CP Practice,Databases,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000203,CP Practice - DBs,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"199,042"
CP Practice,BCN,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000204,CP Practice - BCN,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"86,000"
Customer Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"84,782"
Customer Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,"12,424"
Customer Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,"131,494"
Customer Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Vacation Expense,61107000,0,0,0,0,0,0,0,0,0,0,0,"-39,095"
Customer Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,"360,963"
Customer Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"72,190"
Customer Practice,BCN,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400204,Customer Practice - BCN,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"80,917"
ENR Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"56,985"
ENR Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,"9,668"
ENR Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,"81,031"
ENR Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Vacation Expense,61107000,0,0,0,0,0,0,0,0,0,0,0,"-9,262"
ENR Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,"215,685"
ENR Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"33,000"
ENR Practice,Databases,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300203,ENR Practice - DBs,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"184,946"
ENR Practice,BCN,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300204,ENR Practice - BCN,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"20,000"
ET Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"39,820"
ET Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,"5,911"
ET Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,"57,889"
ET Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Vacation Expense,61107000,0,0,0,0,0,0,0,0,0,0,0,-282
ET Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,"155,973"
ET Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"66,000"
