Cost Center Name,Summary Account,Period,Sum of USD Current Year Rate
FS Practice,Bonus (Firm Perf.),3,"8,219"
FS Practice,Bonus (Individual Perf.),1,"22,004"
FS Practice,Bonus (Individual Perf.),2,"-16,053"
FS Practice,Bonus (Individual Perf.),3,"91,733"
FS Practice,Bonus (Signing),1,364
FS Practice,Bonus (Signing),2,366
FS Practice,Bonus (Signing),3,357
FS Practice,Fringe / Benefits,1,731
FS Practice,Fringe / Benefits,2,"42,851"
FS Practice,Fringe / Benefits,3,"14,068"
FS Practice,Salary,1,"151,938"
FS Practice,Salary,2,"139,827"
FS Practice,Salary,3,"137,596"
Further Practice,Bonus (Firm Perf.),1,"31,478"
Further Practice,Bonus (Firm Perf.),2,"-13,842"
Further Practice,Bonus (Firm Perf.),3,"-14,686"
Further Practice,Bonus (Individual Perf.),1,"52,832"
Further Practice,Bonus (Individual Perf.),2,"53,732"
Further Practice,Bonus (Individual Perf.),3,"-24,519"
Further Practice,Bonus (Signing),1,273
Further Practice,Bonus (Signing),2,-915
Further Practice,Bonus (Signing),3,178
Further Practice,Fringe / Benefits,1,"75,347"
Further Practice,Fringe / Benefits,2,"51,699"
Further Practice,Fringe / Benefits,3,"69,623"
Further Practice,Other Compensation,1,"-21,466"
Further Practice,Other Compensation,2,"-19,492"
Further Practice,Other Compensation,3,"-21,466"
Further Practice,Salary,1,"208,967"
Further Practice,Salary,2,"207,094"
Further Practice,Salary,3,"204,406"
HLS Practice,Bonus (Firm Perf.),1,"14,194"
HLS Practice,Bonus (Firm Perf.),2,"-5,129"
HLS Practice,Bonus (Firm Perf.),3,"9,193"
HLS Practice,Bonus (Individual Perf.),1,"28,209"
HLS Practice,Bonus (Individual Perf.),2,"28,993"
HLS Practice,Bonus (Individual Perf.),3,"-16,138"
HLS Practice,Bonus (Signing),1,182
HLS Practice,Bonus (Signing),2,183
HLS Practice,Bonus (Signing),3,178
HLS Practice,Fringe / Benefits,1,"38,710"
HLS Practice,Fringe / Benefits,2,"28,220"
HLS Practice,Fringe / Benefits,3,"38,108"
HLS Practice,Salary,1,"121,601"
HLS Practice,Salary,2,"115,153"
HLS Practice,Salary,3,"114,913"
M&A Practice,Bonus (Firm Perf.),1,"15,717"
M&A Practice,Bonus (Firm Perf.),2,"-10,087"
M&A Practice,Bonus (Firm Perf.),3,"3,653"
M&A Practice,Bonus (Individual Perf.),1,"-28,779"
M&A Practice,Bonus (Individual Perf.),2,"35,421"
M&A Practice,Bonus (Individual Perf.),3,"8,235"
M&A Practice,Bonus (Signing),1,114
M&A Practice,Bonus (Signing),2,114
M&A Practice,Bonus (Signing),3,111
M&A Practice,Fringe / Benefits,1,"21,151"
M&A Practice,Fringe / Benefits,2,"32,738"
M&A Practice,Fringe / Benefits,3,"33,195"
M&A Practice,Salary,1,"105,708"
M&A Practice,Salary,2,"108,011"
M&A Practice,Salary,3,"108,001"
MTG Practice,Bonus (Firm Perf.),1,"32,088"
MTG Practice,Bonus (Firm Perf.),2,"-7,173"
MTG Practice,Bonus (Firm Perf.),3,"14,451"
MTG Practice,Bonus (Individual Perf.),1,"83,636"
MTG Practice,Bonus (Individual Perf.),2,"42,386"
MTG Practice,Bonus (Individual Perf.),3,"-41,135"
MTG Practice,Fringe / Benefits,1,"46,381"
MTG Practice,Fringe / Benefits,2,"36,887"
MTG Practice,Fringe / Benefits,3,"50,892"
MTG Practice,Salary,1,"111,573"
MTG Practice,Salary,2,"111,573"
MTG Practice,Salary,3,"111,573"
Organization Practice,Bonus (Firm Perf.),1,"26,654"
Organization Practice,Bonus (Firm Perf.),2,"-8,970"
Organization Practice,Bonus (Firm Perf.),3,641
Organization Practice,Bonus (Individual Perf.),1,"46,886"
Organization Practice,Bonus (Individual Perf.),2,"41,787"
Organization Practice,Bonus (Individual Perf.),3,"-9,521"
Organization Practice,Bonus (Signing),1,102
Organization Practice,Bonus (Signing),2,103
Organization Practice,Bonus (Signing),3,100
Organization Practice,Fringe / Benefits,1,"52,778"
Organization Practice,Fringe / Benefits,2,"40,892"
Organization Practice,Fringe / Benefits,3,"31,304"
Organization Practice,Salary,1,"121,988"
Organization Practice,Salary,2,"126,405"
Organization Practice,Salary,3,"126,442"
PEG Practice,Bonus (Firm Perf.),1,"138,982"
PEG Practice,Bonus (Firm Perf.),2,"-47,904"
PEG Practice,Bonus (Firm Perf.),3,"54,419"
PEG Practice,Bonus (Individual Perf.),1,"397,204"
PEG Practice,Bonus (Individual Perf.),2,"176,307"
PEG Practice,Bonus (Individual Perf.),3,"-51,989"
PEG Practice,Bonus (Signing),1,455
PEG Practice,Bonus (Signing),2,366
PEG Practice,Bonus (Signing),3,357
PEG Practice,Fringe / Benefits,1,"272,300"
PEG Practice,Fringe / Benefits,2,"216,424"
PEG Practice,Fringe / Benefits,3,"198,597"
PEG Practice,Other Compensation,1,0
PEG Practice,Other Compensation,2,"1,229"
PEG Practice,Other Compensation,3,0
PEG Practice,Salary,1,"626,414"
PEG Practice,Salary,2,"632,414"
PEG Practice,Salary,3,"642,206"
PI Practice,Bonus (Firm Perf.),1,"80,448"
PI Practice,Bonus (Firm Perf.),2,"-24,367"
PI Practice,Bonus (Firm Perf.),3,"13,041"
PI Practice,Bonus (Individual Perf.),1,"143,634"
PI Practice,Bonus (Individual Perf.),2,"139,411"
PI Practice,Bonus (Individual Perf.),3,"62,132"
PI Practice,Bonus (Signing),1,"1,716"
PI Practice,Bonus (Signing),2,"1,082"
PI Practice,Bonus (Signing),3,"1,070"
PI Practice,Fringe / Benefits,1,"90,739"
PI Practice,Fringe / Benefits,2,"102,628"
PI Practice,Fringe / Benefits,3,"107,548"
PI Practice,Salary,1,"450,228"
PI Practice,Salary,2,"454,934"
PI Practice,Salary,3,"456,200"
Practice Area Prgrm Office,Bonus (Firm Perf.),1,"70,350"
Practice Area Prgrm Office,Bonus (Firm Perf.),2,"-21,691"
