Practice,Summary Account,Period,Sum of USD Current Year Rate
AMS Practice,Fringe / Benefits,10,"30,000"
AMS Practice,Fringe / Benefits,11,"47,979"
AMS Practice,Fringe / Benefits,12,"74,110"
AMS Practice,Other Compensation,3,"50,297"
AMS Practice,Other Compensation,4,"3,588"
AMS Practice,Other Compensation,5,83
AMS Practice,Other Compensation,6,908
AMS Practice,Other Compensation,7,"8,622"
AMS Practice,Other Compensation,8,"-8,175"
AMS Practice,Other Compensation,12,660
AMS Practice,Salary,1,"196,118"
AMS Practice,Salary,2,"174,947"
AMS Practice,Salary,3,"197,188"
AMS Practice,Salary,4,"184,310"
AMS Practice,Salary,5,"199,922"
AMS Practice,Salary,6,"211,589"
AMS Practice,Salary,7,"173,154"
AMS Practice,Salary,8,"184,971"
AMS Practice,Salary,9,"203,647"
AMS Practice,Salary,10,"204,158"
AMS Practice,Salary,11,"191,856"
AMS Practice,Salary,12,"214,317"
CP Practice,Bonus (Firm Perf.),1,"6,609"
CP Practice,Bonus (Firm Perf.),2,"7,079"
CP Practice,Bonus (Firm Perf.),3,"-11,709"
CP Practice,Bonus (Firm Perf.),4,"7,458"
CP Practice,Bonus (Firm Perf.),5,"9,590"
CP Practice,Bonus (Firm Perf.),6,"-10,270"
CP Practice,Bonus (Firm Perf.),7,"11,982"
CP Practice,Bonus (Firm Perf.),8,"8,092"
CP Practice,Bonus (Firm Perf.),9,"7,435"
CP Practice,Bonus (Firm Perf.),10,"7,131"
CP Practice,Bonus (Firm Perf.),11,"7,709"
CP Practice,Bonus (Firm Perf.),12,"32,022"
CP Practice,Bonus (Individual Perf.),1,"45,740"
CP Practice,Bonus (Individual Perf.),2,"45,089"
CP Practice,Bonus (Individual Perf.),3,"96,783"
CP Practice,Bonus (Individual Perf.),4,"-133,088"
CP Practice,Bonus (Individual Perf.),5,"53,804"
CP Practice,Bonus (Individual Perf.),6,"204,059"
CP Practice,Bonus (Individual Perf.),7,"50,569"
CP Practice,Bonus (Individual Perf.),8,"56,306"
CP Practice,Bonus (Individual Perf.),9,"194,020"
CP Practice,Bonus (Individual Perf.),10,"50,279"
CP Practice,Bonus (Individual Perf.),11,"34,373"
CP Practice,Bonus (Individual Perf.),12,"66,810"
CP Practice,Bonus (Signing),1,218
CP Practice,Bonus (Signing),2,412
CP Practice,Bonus (Signing),3,436
CP Practice,Bonus (Signing),5,642
CP Practice,Bonus (Signing),6,351
CP Practice,Bonus (Signing),7,351
CP Practice,Bonus (Signing),8,-315
CP Practice,Bonus (Signing),9,266
CP Practice,Bonus (Signing),10,266
CP Practice,Bonus (Signing),12,616
CP Practice,Fringe / Benefits,1,"50,341"
CP Practice,Fringe / Benefits,2,"84,683"
CP Practice,Fringe / Benefits,3,"56,072"
CP Practice,Fringe / Benefits,4,"53,377"
CP Practice,Fringe / Benefits,5,"80,034"
CP Practice,Fringe / Benefits,6,"68,319"
